Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,89514955,,246241456,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,36,Australia,AUS,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,2550,,31980,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,40,Austria,AUT,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,9630,,50768,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,56,Belgium,BEL,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,1715,,25489,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,100,Bulgaria,BGR,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,54188,,240238,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,112,Belarus,BLR,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,2221367,,10149956,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,124,Canada,CAN,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,29602,,113639,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,156,China,CHN,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,60004,,572437,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,170,Colombia,COL,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,1781,,8704,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,203,Czechia,CZE,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,141415,,769985,,,2
