CC_1,NAME_1,population
01,AZUAY,881394
02,BOLÍVAR,209933
03,CAÑAR,281396
04,CARCHI,186869
05,COTOPAXI,488716
06,CHIMBORAZO,524004
07,EL ORO,715751
08,ESMERALDAS,643654
09,GUAYAS,4387434
10,IMBABURA,476257
11,LOJA,521154
12,LOS RÍOS,921763
13,MANABÍ,1562079
14,MORONA SANTIAGO,196535
15,NAPO,133705
16,PASTAZA,114202
17,PICHINCHA,3228233
18,TUNGURAHUA,590600
19,ZAMORA CHINCHIPE,120416
20,GALÁPAGOS,33042
21,SUCUMBÍOS,230503
22,ORELLANA,161338
23,SANTO DOMINGO DE LOS TSÁCHILAS,458580
24,SANTA ELENA,401178
