Games,event,Medal_female,Name_female,Medal_male,Name_male
1960 Rome,marathon,NA,NA,Gold,Abebe Bikila
1960 Rome,10K,NA,NA,NA,NA
1960 Rome,5K,NA,NA,NA,NA
1964 Tokyo,marathon,NA,NA,Gold,Abebe Bikila
1964 Tokyo,10K,NA,NA,NA,NA
1964 Tokyo,5K,NA,NA,NA,NA
1968 Mexico City,marathon,NA,NA,Gold,Mamo Wolde
1968 Mexico City,10K,NA,NA,Silver,Mamo Wolde
1968 Mexico City,5K,NA,NA,NA,NA
1972 Munich,marathon,NA,NA,Bronze,Mamo Wolde
1972 Munich,10K,NA,NA,Bronze,Miruts Yifter
1972 Munich,5K,NA,NA,NA,NA
1980 Moscow,marathon,NA,NA,NA,NA
1980 Moscow,10K,NA,NA,Gold,Miruts Yifter
1980 Moscow,10K,NA,NA,Bronze,Mohamed Kedir
1980 Moscow,5K,NA,NA,Gold,Miruts Yifter
1992 Barcelona,marathon,NA,NA,NA,NA
1992 Barcelona,10K,Gold,Derartu Tulu,Bronze,Addis Abebe
1992 Barcelona,5K,NA,NA,Bronze,Fita Bayisa
1996 Atlanta,marathon,Gold,Fatuma Roba,NA,NA
1996 Atlanta,10K,Bronze,Gete Wami,Gold,Haile Gebrselassie
1996 Atlanta,5K,NA,NA,NA,NA
2000 Sydney,marathon,NA,NA,Gold,Gezahegne Abera
2000 Sydney,marathon,NA,NA,Bronze,Tesfaye Tola
2000 Sydney,10K,Gold,Derartu Tulu,Gold,Haile Gebrselassie
2000 Sydney,10K,Silver,Gete Wami,Bronze,Assefa Mezgebu
2000 Sydney,5K,Bronze,Gete Wami,Gold,Million Wolde
2004 Athens,marathon,NA,NA,NA,NA
2004 Athens,10K,Silver,Ejegayehu Dibaba,Gold,Kenenisa Bekele
2004 Athens,10K,Bronze,Derartu Tulu,Silver,Sileshi Sihine
2004 Athens,5K,Gold,Meseret Defar,Silver,Kenenisa Bekele
2004 Athens,5K,Bronze,Tirunesh Dibaba,NA,NA
2008 Beijing,marathon,NA,NA,Bronze,Tsegay Kebede
2008 Beijing,10K,Gold,Tirunesh Dibaba,Gold,Kenenisa Bekele
2008 Beijing,10K,NA,NA,Silver,Sileshi Sihine
2008 Beijing,5K,Gold,Tirunesh Dibaba,Gold,Kenenisa Bekele
2008 Beijing,5K,Silver,Meseret Defar,NA,NA
2012 London,marathon,Gold,Tiki Gelana,NA,NA
2012 London,10K,Gold,Tirunesh Dibaba,Bronze,Tariku Bekele
2012 London,5K,Gold,Meseret Defar,Silver,Dejen Gebremeskel
2012 London,5K,Bronze,Tirunesh Dibaba,NA,NA
2016 Rio de Janeiro,marathon,Bronze,Mare Dibaba,Silver,Feyisa Lilesa
2016 Rio de Janeiro,10K,Gold,Almaz Ayana,Bronze,Tamirat Tola
2016 Rio de Janeiro,10K,Bronze,Tirunesh Dibaba,NA,NA
2016 Rio de Janeiro,5K,Bronze,Almaz Ayana,Bronze,Hagos Gebrhiwet
2020 Tokyo,marathon,NA,NA,NA,NA
2020 Tokyo,10K,Bronze,Letesenbet Gidey,Gold,Selemon Barega
2020 Tokyo,5K,Bronze,Gudaf Tsegay,NA,NA
